t,qw,qx,qy,qz
36052.0,0.62455,-0.7583,-0.06671,0.17456
36086.0,0.62407,-0.75879,-0.0672,0.17395
36119.0,0.62344,-0.75928,-0.0672,0.17407
36152.0,0.62283,-0.75977,-0.06738,0.17407
36186.0,0.62269,-0.75977,-0.06708,0.17468
36219.0,0.62207,-0.76025,-0.06726,0.17468
36253.0,0.62147,-0.76074,-0.06732,0.17468
36286.0,0.62018,-0.76172,-0.06726,0.17505
36319.0,0.61893,-0.7627,-0.06738,0.17517
36352.0,0.61771,-0.76367,-0.0672,0.17529
36385.0,0.61643,-0.76465,-0.06689,0.17566
36419.0,0.61447,-0.76611,-0.06689,0.17615
36452.0,0.61231,-0.76758,-0.06635,0.17749
36485.0,0.61133,-0.76807,-0.06671,0.17859
36519.0,0.61058,-0.76855,-0.06635,0.1792
36552.0,0.60991,-0.76904,-0.06653,0.17932
36585.0,0.60989,-0.76904,-0.06641,0.17944
36618.0,0.60911,-0.76953,-0.06622,0.18005
36652.0,0.60835,-0.77002,-0.06653,0.18042
36685.0,0.60758,-0.77051,-0.06696,0.18079
36718.0,0.60621,-0.77148,-0.06708,0.18115
36752.0,0.60602,-0.77148,-0.07068,0.18042
36785.0,0.60595,-0.771,-0.07434,0.18127
36818.0,0.60548,-0.77051,-0.07892,0.18298
36851.0,0.60486,-0.77051,-0.08136,0.18396
36885.0,0.6027,-0.77197,-0.0816,0.18481
36918.0,0.60082,-0.77295,-0.08258,0.1864
36951.0,0.59977,-0.77344,-0.08289,0.18762
36985.0,0.59715,-0.77539,-0.0816,0.18848
37018.0,0.59439,-0.77734,-0.07971,0.18994
37051.0,0.58865,-0.78174,-0.07788,0.19055
37084.0,0.58083,-0.7876,-0.07544,0.19141
37118.0,0.57227,-0.79395,-0.07239,0.19214
37151.0,0.56573,-0.79883,-0.06903,0.1925
37184.0,0.5601,-0.80273,-0.0658,0.19385
37218.0,0.55586,-0.80566,-0.06488,0.19421
37251.0,0.55624,-0.80518,-0.06403,0.19543
37284.0,0.55512,-0.80566,-0.06342,0.19678
37318.0,0.55387,-0.80615,-0.06323,0.19836
37351.0,0.55704,-0.80322,-0.06567,0.20056
37384.0,0.55902,-0.80127,-0.06635,0.20264
37417.0,0.56242,-0.79883,-0.06476,0.20337
37451.0,0.56413,-0.79834,-0.06122,0.20166
37484.0,0.56647,-0.79736,-0.05911,0.19958
37517.0,0.56699,-0.79688,-0.05817,0.20032
37551.0,0.56697,-0.79688,-0.05667,0.20081
37584.0,0.57516,-0.79102,-0.05536,0.20105
37617.0,0.58101,-0.78613,-0.05444,0.20361
37650.0,0.58684,-0.78076,-0.05579,0.20715
37684.0,0.58566,-0.78174,-0.05768,0.2063
37717.0,0.58066,-0.78564,-0.05991,0.20496
37750.0,0.57759,-0.7876,-0.06458,0.20471
37784.0,0.5756,-0.78857,-0.06769,0.20557
37817.0,0.57656,-0.78711,-0.07123,0.20728
37850.0,0.58891,-0.77734,-0.07452,0.20825
37883.0,0.59257,-0.77441,-0.07501,0.20862
37916.0,0.59583,-0.77246,-0.07404,0.20691
37950.0,0.60144,-0.76904,-0.07306,0.20374
37983.0,0.60588,-0.76514,-0.07532,0.20447
38017.0,0.61248,-0.75928,-0.07623,0.2063
38050.0,0.61602,-0.75635,-0.07513,0.20691
38083.0,0.6112,-0.76123,-0.07281,0.2041
38116.0,0.59703,-0.77393,-0.0697,0.19934
38149.0,0.59725,-0.77441,-0.07239,0.1958
38183.0,0.59231,-0.7793,-0.07544,0.19019
38216.0,0.58002,-0.79004,-0.07819,0.1825
38250.0,0.56957,-0.79883,-0.07941,0.17651
38283.0,0.56592,-0.80176,-0.08105,0.17419
38316.0,0.56533,-0.80225,-0.08093,0.17395
38350.0,0.5666,-0.80127,-0.08014,0.17468
38382.0,0.56732,-0.80078,-0.0791,0.17505
38416.0,0.56742,-0.80078,-0.07806,0.17517
38449.0,0.56757,-0.80078,-0.07782,0.1748
38482.0,0.56765,-0.80078,-0.07806,0.17444
38516.0,0.56632,-0.80176,-0.07745,0.17456
38549.0,0.56696,-0.80127,-0.07697,0.17493
38583.0,0.56752,-0.80078,-0.07654,0.17554
38616.0,0.56757,-0.80078,-0.07617,0.17554
38649.0,0.56896,-0.7998,-0.07581,0.17566
38682.0,0.56961,-0.79932,-0.0752,0.17603
38715.0,0.57148,-0.79785,-0.07513,0.17664
38749.0,0.57257,-0.79688,-0.07544,0.17737
38782.0,0.57613,-0.79395,-0.07581,0.17883
38815.0,0.57883,-0.7915,-0.07642,0.18066
38849.0,0.58087,-0.78955,-0.07709,0.18237
38882.0,0.58221,-0.78809,-0.07843,0.18384
38915.0,0.5829,-0.78711,-0.07996,0.18518
38948.0,0.58506,-0.78516,-0.08197,0.18579
38982.0,0.58759,-0.7832,-0.08282,0.18567
39015.0,0.58882,-0.78223,-0.08301,0.18579
39048.0,0.58941,-0.78174,-0.08289,0.18604
39082.0,0.58942,-0.78174,-0.08252,0.18616
39115.0,0.58813,-0.78271,-0.08197,0.1864
39149.0,0.58688,-0.78369,-0.0813,0.18652
39181.0,0.58682,-0.78369,-0.08148,0.18665
